Time,Infections
23/01/2020,1
24/01/2020,1
25/01/2020,2
26/01/2020,2
27/01/2020,5
28/01/2020,5
29/01/2020,5
30/01/2020,5
31/01/2020,6
01/02/2020,7
02/02/2020,8
03/02/2020,11
04/02/2020,11
05/02/2020,11
06/02/2020,12
07/02/2020,12
08/02/2020,12
09/02/2020,12
10/02/2020,12
11/02/2020,13
12/02/2020,13
13/02/2020,14
14/02/2020,15
15/02/2020,15
16/02/2020,15
17/02/2020,15
18/02/2020,15
19/02/2020,15
20/02/2020,15
21/02/2020,15
22/02/2020,35
23/02/2020,35
24/02/2020,35
25/02/2020,53
26/02/2020,53
27/02/2020,59
28/02/2020,59
29/02/2020,62
01/03/2020,62
02/03/2020,62
03/03/2020,64
04/03/2020,108
05/03/2020,129
06/03/2020,148
07/03/2020,213
08/03/2020,213
09/03/2020,213
10/03/2020,472
11/03/2020,696
12/03/2020,987
13/03/2020,1264
14/03/2020,1678
15/03/2020,1678
16/03/2020,1678
