Galumna,pa,totalabund,prop,SubsDens,WatrCont,Substrate,Shrub,Topo
8,1,140,0.057142857,39.18,350.15,Sphagn1,Few,Hummock
3,1,268,0.01119403,54.99,434.81,Litter,Few,Hummock
1,1,186,0.005376344,46.07,371.72,Interface,Few,Hummock
1,1,286,0.003496503,48.19,360.5,Sphagn1,Few,Hummock
2,1,199,0.010050251,23.55,204.13,Sphagn1,Few,Hummock
1,1,209,0.004784689,57.32,311.55,Sphagn1,Few,Hummock
1,1,162,0.00617284,36.95,378.93,Sphagn1,Few,Hummock
1,1,126,0.007936508,80.59,266.78,Interface,Many,Blanket
2,1,123,0.016260163,61.43,310.7,Litter,Many,Blanket
5,1,166,0.030120482,32.14,220.73,Sphagn1,Many,Hummock
3,1,216,0.013888889,35.59,134.13,Sphagn3,Many,Blanket
4,1,213,0.018779343,46.8,405.91,Sphagn1,Few,Hummock
3,1,177,0.016949153,27.97,243.7,Sphagn1,Many,Hummock
7,1,269,0.026022305,37.25,239.51,Interface,Many,Blanket
0,0,100,0,59.93,350.64,Interface,Many,Blanket
2,1,97,0.020618557,35.41,321.87,Interface,Few,Hummock
1,1,90,0.011111111,29.56,296.95,Interface,Many,Hummock
1,1,118,0.008474576,25.84,276.44,Sphagn1,Many,Hummock
2,1,118,0.016949153,44.1,383.83,Interface,Many,Blanket
4,1,184,0.02173913,38.61,145.68,Interface,Many,Hummock
2,1,117,0.017094017,25.93,184.04,Sphagn4,Few,Hummock
4,1,172,0.023255814,32.74,185.89,Sphagn1,Many,Hummock
0,0,81,0,31.98,398.73,Sphagn2,Many,Hummock
0,0,80,0,32.27,291.59,Interface,Many,Hummock
0,0,123,0,35.3,293.49,Interface,Many,Blanket
1,1,120,0.008333333,51.47,488.55,Sphagn4,Many,Hummock
2,1,173,0.011560694,22.9,145.28,Sphagn1,Many,Hummock
0,0,111,0,35.81,354.56,Sphagn2,Few,Hummock
0,0,111,0,32.86,323.12,Interface,Many,Hummock
1,1,96,0.010416667,38.17,403.32,Sphagn2,Many,Blanket
0,0,130,0,43.9,494.24,Sphagn2,Few,Hummock
0,0,93,0,37.33,284.27,Interface,Many,Blanket
0,0,136,0,36.44,387.3,Sphagn2,Few,Blanket
5,1,194,0.025773196,53.17,367.11,Interface,Many,Blanket
0,0,111,0,29.14,287.27,Sphagn1,Few,Blanket
0,0,133,0,39.61,418.01,Sphagn1,Many,Blanket
0,0,139,0,34.76,393.62,Interface,Few,Blanket
0,0,189,0,47.74,528.44,Interface,Few,Blanket
0,0,94,0,64.75,691.79,Sphagn2,Few,Blanket
0,0,157,0,34.26,398.2,Interface,Few,Blanket
0,0,81,0,36.31,468.15,Sphagn2,Few,Blanket
0,0,140,0,26.6,386.37,Interface,Few,Blanket
0,0,148,0,56.65,581,Interface,Few,Blanket
0,0,60,0,62.38,708.16,Barepeat,Few,Blanket
0,0,158,0,46.81,538.51,Interface,Few,Blanket
0,0,154,0,44.01,451.45,Sphagn1,Few,Blanket
0,0,121,0,33.98,323.96,Interface,Few,Blanket
0,0,113,0,41.71,506.86,Sphagn1,Few,Blanket
0,0,107,0,26.37,363.87,Sphagn2,None,Blanket
0,0,148,0,28.29,434.28,Interface,None,Blanket
0,0,91,0,37.51,465.27,Sphagn2,None,Blanket
0,0,112,0,28.86,588.28,Sphagn1,None,Blanket
0,0,145,0,26.83,414.65,Interface,None,Blanket
0,0,49,0,45.59,530.51,Sphagn2,None,Blanket
0,0,58,0,31.98,447.65,Interface,None,Blanket
0,0,108,0,41.38,532.88,Interface,None,Blanket
0,0,8,0,56.82,613.39,Barepeat,None,Blanket
0,0,121,0,27.24,353.39,Sphagn1,None,Blanket
0,0,90,0,52.73,656.35,Sphagn1,None,Blanket
0,0,127,0,31.37,465.8,Sphagn2,None,Blanket
0,0,42,0,47.03,626.36,Interface,None,Blanket
0,0,13,0,48.59,634.75,Interface,None,Blanket
0,0,86,0,35.03,482.27,Interface,None,Blanket
0,0,88,0,28.07,434.96,Sphagn1,None,Blanket
0,0,112,0,21.17,479.39,Sphagn1,Many,Hummock
0,0,116,0,31.46,514.85,Sphagn1,None,Blanket
0,0,781,0,52.12,826.96,Sphagn1,None,Blanket
0,0,111,0,29.24,590.11,Sphagn1,None,Blanket
0,0,184,0,29.33,479.23,Sphagn1,Many,Hummock
0,0,121,0,22.36,517.36,Sphagn1,Many,Hummock
